,Unnamed: 0,Voltage Set,Current Set,Voltage Measured,Current Measured,key,Voltage Absolute Error,Voltage Percentage Error (%),Current Absolute Error,Current Percentage Error(%),Upper Error Boundary,Lower Error Boundary,Condition ?
19,19,10.0,1,9.99887813,1,0,0.0011218700000004,0.0112187000000041,0,0.0,0.1525,-0.1525,False
20,20,10.5,1,10.4982541,1,0,0.0017458999999995,0.0166276190476145,0,0.0,0.15262499999999998,-0.15262499999999998,False
21,21,11.0,1,10.9989664,1,0,0.0010335999999995,0.0093963636363593,0,0.0,0.15275,-0.15275,False
22,22,11.5,1,11.4985582,1,0,0.0014418000000002,0.0125373913043501,0,0.0,0.15287499999999998,-0.15287499999999998,False
23,23,12.0,1,11.9989229,1,0,0.0010770999999998,0.0089758333333319,0,0.0,0.153,-0.153,False
24,24,12.5,1,12.4838878,1,0,0.0161122000000002,0.1288976000000019,0,0.0,0.15312499999999998,-0.15312499999999998,False
25,25,13.0,1,12.9925488,1,0,0.0074512000000002,0.0573169230769247,0,0.0,0.15325,-0.15325,False
26,26,13.5,1,13.4917749,1,0,0.0082251000000006,0.0609266666666714,0,0.0,0.15337499999999998,-0.15337499999999998,False
27,27,14.0,1,13.9943165,1,0,0.0056834999999999,0.0405964285714282,0,0.0,0.1535,-0.1535,False
28,28,14.5,1,14.4901472,1,0,0.0098528000000008,0.0679503448275923,0,0.0,0.15362499999999998,-0.15362499999999998,False
29,29,15.0,1,14.991742,1,0,0.0082579999999996,0.055053333333331,0,0.0,0.15375,-0.15375,False
30,30,15.5,1,15.4873619,1,0,0.0126381000000002,0.0815361290322594,0,0.0,0.15387499999999998,-0.15387499999999998,False
31,31,16.0,1,15.9935291,1,0,0.0064709,0.0404431250000003,0,0.0,0.154,-0.154,False
32,32,16.5,1,16.4895757,1,0,0.0104243000000003,0.0631775757575781,0,0.0,0.15412499999999998,-0.15412499999999998,False
33,33,17.0,1,16.989198,1,0,0.0108020000000017,0.0635411764705985,0,0.0,0.15425,-0.15425,False
34,34,17.5,1,17.4883895,1,0,0.0116104999999997,0.0663457142857128,0,0.0,0.15437499999999998,-0.15437499999999998,False
35,35,18.0,1,17.987476,1,0,0.012523999999999,0.0695777777777727,0,0.0,0.1545,-0.1545,False
36,36,18.5,1,18.4901442,1,0,0.0098558000000004,0.0532745945945968,0,0.0,0.15462499999999998,-0.15462499999999998,False
37,37,19.0,1,18.9871922,1,0,0.0128078000000009,0.0674094736842153,0,0.0,0.15475,-0.15475,False
38,38,19.5,1,19.4859804,1,0,0.014019600000001,0.0718953846153898,0,0.0,0.15487499999999998,-0.15487499999999998,False
39,39,20.0,1,19.9848936,1,0,0.0151064000000005,0.0755320000000026,0,0.0,0.155,-0.155,False
40,40,20.5,1,20.4825275,1,0,0.0174725000000002,0.0852317073170742,0,0.0,0.15512499999999999,-0.15512499999999999,False
41,41,21.0,1,20.9896228,1,0,0.0103772000000006,0.0494152380952411,0,0.0,0.15525,-0.15525,False
42,42,21.5,1,21.4913677,1,0,0.0086322999999985,0.0401502325581329,0,0.0,0.15537499999999999,-0.15537499999999999,False
43,43,22.0,1,21.9861447,1,0,0.0138552999999994,0.0629786363636339,0,0.0,0.1555,-0.1555,False
44,44,22.5,1,22.4866328,1,0,0.0133672000000011,0.0594097777777828,0,0.0,0.15562499999999999,-0.15562499999999999,False
45,45,23.0,1,22.9808371,1,0,0.0191629000000013,0.0833169565217448,0,0.0,0.15575,-0.15575,False
46,46,23.5,1,23.4903881,1,0,0.0096118999999994,0.0409017021276572,0,0.0,0.15587499999999999,-0.15587499999999999,False
47,47,24.0,1,23.9879584,1,0,0.0120415999999998,0.0501733333333328,0,0.0,0.156,-0.156,False
48,48,24.5,1,24.4878083,1,0,0.0121916999999989,0.0497620408163221,0,0.0,0.15612499999999999,-0.15612499999999999,False
49,49,25.0,1,24.9947765,1,0,0.0052234999999996,0.0208939999999984,0,0.0,0.15625,-0.15625,False
50,50,25.5,1,25.4917202,1,0,0.0082798000000003,0.0324698039215701,0,0.0,0.156375,-0.156375,False
51,51,26.0,1,25.9986677,1,0,0.0013323000000013,0.0051242307692361,0,0.0,0.1565,-0.1565,False
52,52,26.5,1,26.4887968,1,0,0.0112032000000006,0.0422762264150967,0,0.0,0.156625,-0.156625,False
53,53,27.0,1,26.9870338,1,0,0.012966200000001,0.0480229629629668,0,0.0,0.15675,-0.15675,False
54,54,27.5,1,27.4838534,1,0,0.016146599999999,0.0587149090909054,0,0.0,0.156875,-0.156875,False
55,55,28.0,1,27.9894607,1,0,0.0105393000000013,0.037640357142862,0,0.0,0.157,-0.157,False
56,56,28.5,1,28.4909083,1,0,0.009091699999999,0.0319007017543825,0,0.0,0.157125,-0.157125,False
57,57,29.0,1,28.9827403,1,0,0.0172597000000003,0.0595162068965528,0,0.0,0.15725,-0.15725,False
58,58,29.5,1,29.4940757,1,0,0.0059243000000002,0.0200823728813566,0,0.0,0.157375,-0.157375,False
59,59,30.0,1,29.9794194,1,0,0.0205805999999988,0.0686019999999961,0,0.0,0.1575,-0.1575,False
60,60,0.5,2,0.499468567,2,1,0.000531433,0.1062866000000051,0,0.0,0.15012499999999998,-0.15012499999999998,False
61,61,1.0,2,0.998860378,2,1,0.0011396219999999,0.1139621999999951,0,0.0,0.15025,-0.15025,False
62,62,1.5,2,1.49796458,2,1,0.0020354199999998,0.1356946666666599,0,0.0,0.15037499999999998,-0.15037499999999998,False
63,63,2.0,2,1.99825598,2,1,0.00174402,0.0872010000000034,0,0.0,0.1505,-0.1505,False
64,64,2.5,2,2.49763501,2,1,0.0023649899999997,0.0945995999999915,0,0.0,0.15062499999999998,-0.15062499999999998,False
65,65,3.0,2,2.99865338,2,1,0.00134662,0.0448873333333358,0,0.0,0.15075,-0.15075,False
66,66,3.5,2,3.49759915,2,1,0.0024008499999998,0.0685957142857114,0,0.0,0.15087499999999998,-0.15087499999999998,False
67,67,4.0,2,3.99809501,2,1,0.0019049899999998,0.0476247499999971,0,0.0,0.151,-0.151,False
68,68,4.5,2,4.49815124,2,1,0.0018487599999996,0.0410835555555482,0,0.0,0.15112499999999998,-0.15112499999999998,False
69,69,5.0,2,4.99788299,2,1,0.00211701,0.0423402000000017,0,0.0,0.15125,-0.15125,False
70,70,5.5,2,5.49846288,2,1,0.00153712,0.0279476363636374,0,0.0,0.15137499999999998,-0.15137499999999998,False
71,71,6.0,2,5.99772403,2,1,0.0022759700000003,0.0379328333333391,0,0.0,0.1515,-0.1515,False
72,72,6.5,2,6.49796107,2,1,0.0020389300000003,0.0313681538461588,0,0.0,0.15162499999999998,-0.15162499999999998,False
73,73,7.0,2,6.99764636,2,1,0.0023536399999999,0.0336234285714276,0,0.0,0.15175,-0.15175,False
74,74,7.5,2,7.49785522,2,1,0.00214478,0.0285970666666675,0,0.0,0.15187499999999998,-0.15187499999999998,False
75,75,8.0,2,7.9972615,2,1,0.0027385000000004,0.0342312500000052,0,0.0,0.152,-0.152,False
76,76,8.5,2,8.49748213,2,1,0.0025178700000001,0.0296220000000016,0,0.0,0.15212499999999998,-0.15212499999999998,False
77,77,9.0,2,8.99798998,2,1,0.0020100200000001,0.0223335555555574,0,0.0,0.15225,-0.15225,False
78,78,9.5,2,9.49768423,2,1,0.0023157699999991,0.0243765263157806,0,0.0,0.15237499999999998,-0.15237499999999998,False
79,79,10.0,2,9.9976478,2,1,0.0023522000000006,0.0235220000000069,0,0.0,0.1525,-0.1525,False
80,80,10.5,2,10.4981644,2,1,0.0018355999999997,0.017481904761902,0,0.0,0.15262499999999998,-0.15262499999999998,False
81,81,11.0,2,10.9981975,2,1,0.0018025000000001,0.016386363636365,0,0.0,0.15275,-0.15275,False
82,82,11.5,2,11.4972381,2,1,0.0027618999999994,0.0240165217391254,0,0.0,0.15287499999999998,-0.15287499999999998,False
83,83,12.0,2,11.9988454,2,1,0.0011545999999995,0.009621666666663,0,0.0,0.153,-0.153,False
84,84,12.5,2,12.4948748,2,1,0.0051252000000001,0.0410016000000013,0,0.0,0.15312499999999998,-0.15312499999999998,False
85,85,13.0,2,12.9887556,2,1,0.0112444000000007,0.08649538461539,0,0.0,0.15325,-0.15325,False
86,86,13.5,2,13.4923774,2,1,0.0076225999999994,0.0564637037036998,0,0.0,0.15337499999999998,-0.15337499999999998,False
87,87,14.0,2,13.9909373,2,1,0.0090626999999994,0.0647335714285673,0,0.0,0.1535,-0.1535,False
88,88,14.5,2,14.4874329,2,1,0.0125671,0.0866696551724141,0,0.0,0.15362499999999998,-0.15362499999999998,False
89,89,15.0,2,14.9926554,2,1,0.0073445999999997,0.048963999999998,0,0.0,0.15375,-0.15375,False
90,90,15.5,2,15.4899804,2,1,0.0100195999999996,0.0646425806451592,0,0.0,0.15387499999999998,-0.15387499999999998,False
91,91,16.0,2,15.9932711,2,1,0.0067289000000005,0.0420556250000037,0,0.0,0.154,-0.154,False
92,92,16.5,2,16.4905082,2,1,0.0094917999999992,0.0575260606060562,0,0.0,0.15412499999999998,-0.15412499999999998,False
93,93,17.0,2,16.9935497,2,1,0.0064503000000009,0.0379429411764759,0,0.0,0.15425,-0.15425,False
