SCPI Version,Instruments Used: 
"1995.0
","Keysight Technologies,N6701C,MY56000223,E.02.07.3231
"
"1999.0
","Keysight Technologies,E36731A,MY62100050,K-01.00.93-01.00-01.00-01.00-2021010101
"
"1997.0
","Keysight Technologies,EDU34450A,CN60440004,K-00.00.93-00.07-00.19-00.26-2020110901
"
