,Voltage Set,Current Set,Voltage Measured,Current Measured,key,Voltage Absolute Error,Voltage Percentage Error (%),Current Absolute Error,Current Percentage Error(%)
0,0.5,1,0.499664057,1,0,0.0003359430000000052,0.06718860000000104,0,0.0
1,1.0,1,0.999476109,1,0,0.0005238910000000541,0.052389100000005406,0,0.0
2,1.5,1,1.49858843,1,0,0.0014115699999999176,0.09410466666666117,0,0.0
3,2.0,1,1.99848728,1,0,0.001512720000000023,0.07563600000000115,0,0.0
4,2.5,1,2.49838021,1,0,0.0016197899999998988,0.06479159999999595,0,0.0
5,3.0,1,2.99865052,1,0,0.001349480000000014,0.04498266666666713,0,0.0
6,3.5,1,3.49864921,1,0,0.0013507900000000461,0.038594000000001315,0,0.0
7,4.0,1,3.99819905,1,0,0.0018009499999998013,0.04502374999999503,0,0.0
8,4.5,1,4.49795642,1,0,0.0020435799999996007,0.04541288888888002,0,0.0
9,5.0,1,4.99831262,1,0,0.001687379999999905,0.0337475999999981,0,0.0
10,5.5,1,5.4987008,1,0,0.0012992000000000559,0.023621818181819198,0,0.0
11,6.0,1,5.99823203,1,0,0.0017679700000003962,0.02946616666667327,0,0.0
12,6.5,1,6.4982477,1,0,0.0017522999999997069,0.02695846153845703,0,0.0
13,7.0,1,6.99810143,1,0,0.0018985699999998218,0.02712242857142603,0,0.0
14,7.5,1,7.49878597,1,0,0.001214029999999866,0.01618706666666488,0,0.0
15,8.0,1,7.99858988,1,0,0.0014101200000000702,0.017626500000000878,0,0.0
16,8.5,1,8.49808469,1,0,0.0019153099999993373,0.022533058823521614,0,0.0
17,9.0,1,8.99785076,1,0,0.002149239999999608,0.02388044444444009,0,0.0
18,9.5,1,9.4979393,1,0,0.0020606999999994713,0.021691578947362858,0,0.0
19,10.0,1,9.99887813,1,0,0.0011218700000004134,0.011218700000004134,0,0.0
20,10.5,1,10.4982541,1,0,0.0017458999999995228,0.016627619047614502,0,0.0
21,11.0,1,10.9989664,1,0,0.0010335999999995238,0.009396363636359307,0,0.0
22,11.5,1,11.4985582,1,0,0.0014418000000002706,0.01253739130435018,0,0.0
23,12.0,1,11.9989229,1,0,0.001077099999999831,0.008975833333331924,0,0.0
24,12.5,1,12.4838878,1,0,0.016112200000000243,0.12889760000000194,0,0.0
25,13.0,1,12.9925488,1,0,0.007451200000000213,0.057316923076924715,0,0.0
26,13.5,1,13.4917749,1,0,0.008225100000000651,0.06092666666667149,0,0.0
27,14.0,1,13.9943165,1,0,0.0056834999999999525,0.040596428571428235,0,0.0
28,14.5,1,14.4901472,1,0,0.009852800000000883,0.0679503448275923,0,0.0
29,15.0,1,14.991742,1,0,0.008257999999999655,0.055053333333331025,0,0.0
30,15.5,1,15.4873619,1,0,0.012638100000000208,0.0815361290322594,0,0.0
31,16.0,1,15.9935291,1,0,0.006470900000000057,0.04044312500000036,0,0.0
32,16.5,1,16.4895757,1,0,0.010424300000000386,0.0631775757575781,0,0.0
33,17.0,1,16.989198,1,0,0.010802000000001755,0.06354117647059856,0,0.0
34,17.5,1,17.4883895,1,0,0.011610499999999746,0.06634571428571284,0,0.0
35,18.0,1,17.987476,1,0,0.012523999999999091,0.06957777777777273,0,0.0
36,18.5,1,18.4901442,1,0,0.009855800000000414,0.05327459459459683,0,0.0
37,19.0,1,18.9871922,1,0,0.012807800000000924,0.06740947368421539,0,0.0
38,19.5,1,19.4859804,1,0,0.01401960000000102,0.07189538461538986,0,0.0
39,20.0,1,19.9848936,1,0,0.01510640000000052,0.0755320000000026,0,0.0
40,20.5,1,20.4825275,1,0,0.017472500000000224,0.08523170731707426,0,0.0
41,21.0,1,20.9896228,1,0,0.010377200000000641,0.049415238095241155,0,0.0
42,21.5,1,21.4913677,1,0,0.008632299999998594,0.04015023255813299,0,0.0
43,22.0,1,21.9861447,1,0,0.01385529999999946,0.0629786363636339,0,0.0
44,22.5,1,22.4866328,1,0,0.013367200000001134,0.059409777777782814,0,0.0
45,23.0,1,22.9808371,1,0,0.019162900000001315,0.08331695652174485,0,0.0
46,23.5,1,23.4903881,1,0,0.009611899999999451,0.040901702127657244,0,0.0
47,24.0,1,23.9879584,1,0,0.012041599999999875,0.05017333333333281,0,0.0
48,24.5,1,24.4878083,1,0,0.012191699999998917,0.049762040816322115,0,0.0
49,25.0,1,24.9947765,1,0,0.0052234999999996035,0.020893999999998414,0,0.0
50,25.5,1,25.4917202,1,0,0.008279800000000392,0.032469803921570166,0,0.0
51,26.0,1,25.9986677,1,0,0.0013323000000013963,0.005124230769236139,0,0.0
52,26.5,1,26.4887968,1,0,0.011203200000000635,0.042276226415096735,0,0.0
53,27.0,1,26.9870338,1,0,0.012966200000001038,0.048022962962966806,0,0.0
